101_02,23:00.0,28:00.0
101_03,52:20.0,56:30.0
101_04,28:50.0,32:15.0
101_05,39:10.0,45:20.0
102_02,07:00.0,11:45.0
102_03,12:10.0,16:50.0
102_04,29:40.0,34:00.0
102_05,18:20.0,22:00.0
103_02,03:00.0,07:05.0
103_03,46:30.0,49:50.0
103_04,38:00.0,43:20.0
103_05,34:00.0,38:50.0
104_02,20:00.0,26:40.0
104_03,22:00.0,30:22.0
104_04,29:00.0,36:00.0
104_05,28:00.0,34:05.0
105_02,22:00.0,31:20.0
105_03,21:15.0,27:45.0
106_02,33:30.0,52:00.0
106_03,24:20.0,51:45.0
106_04,51:30.0,12:00.0
106_05,30:20.0,58:30.0
107_02,20:40.0,27:45.0
107_03,27:00.0,31:20.0
107_05,23:40.0,27:35.0
110_02,15:25.0,21:00.0
110_03,33:50.0,41:00.0
110_04,39:30.0,46:30.0
110_05,38:00.0,45:45.0
